date,open,high,low,close,volume,value
2025-10-17 09:00:00,114.0,192.0,114.0,149.0,1144516604.1776185,178888641086.10492
2025-10-18 09:00:00,148.0,154.0,140.0,145.0,143862898.0544928,20900358176.182785
2025-10-19 09:00:00,145.0,146.0,134.0,135.0,73780097.53692077,10360474194.855713
2025-10-20 09:00:00,134.0,163.0,131.0,153.0,167384774.9207769,24544587056.444633
2025-10-21 09:00:00,153.0,172.0,142.0,150.0,206080857.4328574,32171608696.787704
2025-10-22 09:00:00,150.0,153.0,137.0,140.0,59744383.96396851,8644847302.360838
2025-10-23 09:00:00,140.0,143.0,135.0,137.0,24081935.95532947,3318749383.3171816
2025-10-24 09:00:00,137.0,146.0,134.0,142.0,27485386.88914547,3837964775.1870346
2025-10-25 09:00:00,141.0,142.0,134.0,139.0,22833690.35564148,3139640933.989678
2025-10-26 09:00:00,139.0,143.0,136.0,137.0,16389620.03599083,2285508790.33355
2025-10-27 09:00:00,138.0,150.0,128.0,131.0,34597988.29810413,4864225153.490225
2025-10-28 09:00:00,131.0,135.0,123.0,130.0,16478661.95117256,2109958208.3721013
2025-10-29 09:00:00,130.0,130.0,118.0,122.0,9604539.78081917,1190103320.7057366
2025-10-30 09:00:00,122.0,123.0,114.0,116.0,10541231.68902166,1243801268.9626932
2025-10-31 09:00:00,117.0,118.0,101.0,106.0,28279361.45550514,3026163534.669178
2025-11-01 09:00:00,106.0,110.0,100.0,106.0,14993297.54165062,1566341465.7437696
2025-11-02 09:00:00,106.0,106.0,96.8,100.0,10899528.74995796,1103908164.2958634
2025-11-03 09:00:00,100.0,101.0,86.7,91.5,10484117.37824098,987379614.985414
2025-11-04 09:00:00,91.6,94.4,83.9,91.0,16414143.59833022,1502469856.0780044
2025-11-05 09:00:00,91.0,105.0,84.7,99.9,19965078.44897482,1915619963.3093116
2025-11-06 09:00:00,99.9,99.9,88.0,88.9,7877599.13061919,734682653.8179532
2025-11-07 09:00:00,88.7,96.4,86.5,93.5,8739039.18127428,797359646.1173618
2025-11-08 09:00:00,93.5,94.9,87.4,90.3,9404975.84642196,860102233.7865151
2025-11-09 09:00:00,90.0,96.0,87.0,93.0,11792395.05846327,1086461290.0876267
2025-11-10 09:00:00,93.2,103.0,89.2,92.0,21745427.49218248,2069451077.3743834
2025-11-11 09:00:00,92.1,98.7,89.0,89.5,19050525.18927273,1797601852.3512287
2025-11-12 09:00:00,89.6,90.0,81.9,83.5,10643881.55722081,920053008.7007616
2025-11-13 09:00:00,83.4,141.0,83.2,90.4,882644951.7136449,89783119887.15909
2025-11-14 09:00:00,90.4,93.8,82.1,84.2,178493122.32989496,15359695845.846909
2025-11-15 09:00:00,84.0,84.5,77.4,79.2,71475616.497212,5759809804.726076
2025-11-16 09:00:00,79.2,95.9,74.6,76.1,576873987.8709091,49701700600.64317
2025-11-17 09:00:00,76.1,79.9,73.4,75.8,112454161.37978572,8547046274.332651
2025-11-18 09:00:00,75.5,76.5,69.3,74.3,43301814.64127037,3112595348.0202737
2025-11-19 09:00:00,74.5,83.2,69.5,80.9,83147521.5989373,6422346378.8206835
2025-11-20 09:00:00,81.1,95.8,78.8,82.2,423915251.71474767,37682505634.47142
2025-11-21 09:00:00,82.2,88.6,73.4,79.9,204950400.58295923,16405627846.80168
2025-11-22 09:00:00,80.0,87.0,74.2,80.4,68499766.14673816,5418217791.233333
2025-11-23 09:00:00,80.2,84.5,77.5,78.3,42665875.93501317,3421954575.869024
2025-11-24 09:00:00,78.3,82.5,75.8,82.1,18980450.78426188,1495881032.9982092
2025-11-25 09:00:00,82.4,85.8,76.8,80.1,60729089.6815063,4962368211.242583
2025-11-26 09:00:00,79.8,83.0,78.2,81.8,13704008.27322017,1092921738.1343672
2025-11-27 09:00:00,81.7,99.5,80.9,87.2,80915368.54208888,7236001524.575743
2025-11-28 09:00:00,86.8,102.0,83.0,84.3,47890746.28345316,4299463231.235452
2025-11-29 09:00:00,84.3,89.5,79.9,81.8,13287814.40451097,1121680051.8414202
2025-11-30 09:00:00,81.7,82.5,77.4,79.4,9756893.60733831,770569293.28841
2025-12-01 09:00:00,79.3,79.3,64.8,67.9,18452359.99804309,1277669456.6019487
2025-12-02 09:00:00,67.9,80.0,66.1,71.9,126582905.09513241,9467564903.821388
2025-12-03 09:00:00,71.9,77.0,70.1,75.3,47881810.81377942,3487618835.5905294
2025-12-04 09:00:00,75.5,80.7,72.9,73.1,42404080.04865091,3275062913.389376
2025-12-05 09:00:00,73.1,76.0,68.4,70.7,10901681.66796557,791437147.7995335
2025-12-06 09:00:00,70.6,74.6,69.5,71.5,29952051.37161134,2142566199.532132
2025-12-07 09:00:00,71.6,73.9,69.5,72.3,23047373.86656054,1651928472.8548636
2025-12-08 09:00:00,72.6,76.6,70.2,73.1,29859420.64347743,2196932226.5117745
2025-12-09 09:00:00,73.1,78.3,70.9,74.4,11935495.52888058,889967218.2323667
2025-12-10 09:00:00,74.4,78.2,73.3,73.8,34050924.92160075,2570857229.615235
2025-12-11 09:00:00,73.7,77.6,71.7,77.2,22360492.21504478,1672662153.4106252
2025-12-12 09:00:00,77.2,77.7,71.5,73.1,16661837.78025099,1241457469.6303687
2025-12-13 09:00:00,73.1,73.3,71.3,73.0,4108292.60950627,297946532.6550322
2025-12-14 09:00:00,72.7,76.2,69.5,69.9,36022989.16177191,2663247546.3001833
2025-12-15 09:00:00,69.8,73.4,67.2,69.1,18459707.46348793,1316984561.809154
2025-12-16 09:00:00,69.1,75.8,67.7,75.2,16525323.83114703,1180981593.1222432
2025-12-17 09:00:00,75.2,78.9,68.4,69.2,43963833.98290997,3340862613.035446
2025-12-18 09:00:00,69.0,69.1,60.1,61.5,25874618.39113646,1681480059.3417137
2025-12-19 09:00:00,61.7,63.5,55.9,63.3,87501815.56407274,5198011652.834303
2025-12-20 09:00:00,63.4,73.0,62.5,67.6,332062355.178603,22050574854.245995
2025-12-21 09:00:00,67.4,67.4,62.8,64.6,34152266.62959439,2224859422.364656
2025-12-22 09:00:00,64.6,66.5,62.1,63.0,21287589.05903266,1374823774.8623006
2025-12-23 09:00:00,62.9,64.4,61.3,61.7,17203074.51727031,1078440057.5028644
2025-12-24 09:00:00,61.7,62.0,57.7,60.1,21397906.49919255,1272609540.5055594
2025-12-25 09:00:00,60.1,60.3,57.7,58.3,9987650.3739267,591504076.0206808
2025-12-26 09:00:00,58.3,59.8,57.8,59.1,25506053.15793571,1497538033.8359108
2025-12-27 09:00:00,59.1,59.3,57.8,59.0,7238096.65124852,423249583.6625329
2025-12-28 09:00:00,58.8,64.4,57.9,61.9,55340041.6284838,3399276405.403687
2025-12-29 09:00:00,61.9,64.5,57.7,58.1,43343836.12270437,2684452593.2525764
2025-12-30 09:00:00,58.0,58.7,56.1,56.6,19266697.29159907,1106040547.8247929
